Word,Classification
वहांँ,incorrect spelling
डलना,incorrect spelling
दिलाए,incorrect spelling
वार्म,incorrect spelling
एवेंट,incorrect spelling
खाओगी,incorrect spelling
सीमेंटेड,incorrect spelling
लिफाफे,incorrect spelling
एकत्र,incorrect spelling
चारपाँच,incorrect spelling
सीताराम,correct spelling
दगा,incorrect spelling
वनीला,correct spelling
"मनाना,",incorrect spelling
फ्लॉवर,correct spelling
द्वितीय,correct spelling
प्रबल,correct spelling
संगमरमर,correct spelling
रहेता,incorrect spelling
सामर्थ्य,correct spelling
गूथ,correct spelling
करेक्शन,correct spelling
जानकी,correct spelling
बच्चा।,incorrect spelling
बेफालतू,incorrect spelling
बड़,incorrect spelling
खिलजी,correct spelling
बढे,incorrect spelling
आमंत्रण,incorrect spelling
वाला.,incorrect spelling
राष्ट,correct spelling
दिकत,incorrect spelling
ऑडी,incorrect spelling
मैनर,incorrect spelling
मगा,incorrect spelling
जेस्चर,incorrect spelling
"पढ़ेंगे,",incorrect spelling
ब्रीज,incorrect spelling
कुंटल,incorrect spelling
वेजटेरियन,incorrect spelling
सजाकर,incorrect spelling
शाॅप,incorrect spelling
मुंगफली,incorrect spelling
बी_सी_ए,incorrect spelling
प्रेगनेंट,incorrect spelling
अलाबा,incorrect spelling
लिट,correct spelling
"उसके,",incorrect spelling
तिस,correct spelling
नहींं,incorrect spelling
कैमिस्ट्री,correct spelling
आगला,incorrect spelling
मक्खियां,incorrect spelling
फ्लड,correct spelling
ऑब्वियस्ली,incorrect spelling
उसने।,incorrect spelling
म्म्म,incorrect spelling
रेशमिया,incorrect spelling
शूरू,incorrect spelling
"पड़ी,",incorrect spelling
एंट,incorrect spelling
सीड,correct spelling
ढूंढोगे,incorrect spelling
स्टेंट,incorrect spelling
मुवमेंट,incorrect spelling
सैनिकों,incorrect spelling
वागैरा,incorrect spelling
खाना.,incorrect spelling
प्रीति,correct spelling
पेंटर्स,incorrect spelling
लट,correct spelling
एना,incorrect spelling
पंडितों,incorrect spelling
कॉलनी,incorrect spelling
स्ट्रॉबेरी,correct spelling
आँगन,correct spelling
करवाऊंगा,incorrect spelling
ग्री,correct spelling
होशियारी,incorrect spelling
पैरेंटस,incorrect spelling
बलवान,correct spelling
",जहां",incorrect spelling
"तुम,",incorrect spelling
रेस्पॉन्स,incorrect spelling
नॉरमल,incorrect spelling
बगवान,incorrect spelling
मेलों,incorrect spelling
डेवेलप,incorrect spelling
फिज़िकल,incorrect spelling
मातारानी,incorrect spelling
चुटी,incorrect spelling
"गये,",incorrect spelling
मॉस्टली,incorrect spelling
एम्प्लॉई,incorrect spelling
उपस्थिति,correct spelling
तोड़ो,incorrect spelling
अपॉइंटमेंट,correct spelling
थोड़ा.,incorrect spelling
लायक़,correct spelling
तेहार,incorrect spelling
हंसमुख,correct spelling
रोमांचिक,incorrect spelling
कैटल,correct spelling
फ्लैग,correct spelling
हाप,correct spelling
विवेकानन्द,correct spelling
फ्राड,correct spelling
लिटिल,correct spelling
बानते,incorrect spelling
स्ट्रिप्स,incorrect spelling
ऑफिसर्स,correct spelling
स्टैमिना,correct spelling
जिल,correct spelling
लटकन,correct spelling
वेंचर,correct spelling
गुली,incorrect spelling
"करू,",incorrect spelling
टेढ़े,incorrect spelling
महेंगे,incorrect spelling
चलेंगा,incorrect spelling
औरंगाबाद,correct spelling
हांन,incorrect spelling
इस्टेट,incorrect spelling
हद्द,correct spelling
माइग्रेन,correct spelling
ऐठ,incorrect spelling
चलाऊ,correct spelling
गढ़ा,correct spelling
सर्वोत्तम,correct spelling
"पीछे,",incorrect spelling
महलों,incorrect spelling
सना,incorrect spelling
पिल्ला,incorrect spelling
रहतें,incorrect spelling
क्लीनर,correct spelling
वहीं।,incorrect spelling
हुँ.,incorrect spelling
ढाले,incorrect spelling
ढकने,incorrect spelling
जिस्से,incorrect spelling
प्राप्ती,incorrect spelling
नं,correct spelling
पॉली,incorrect spelling
बढ़नी,incorrect spelling
",हु",incorrect spelling
नौटियाल,incorrect spelling
मुम्किन,incorrect spelling
रगड़ा,incorrect spelling
जलाओ,incorrect spelling
इंटरोवर्ट,incorrect spelling
चेहरों,incorrect spelling
सेल्सियस,correct spelling
इस्तिमाल,correct spelling
लापता,incorrect spelling
आग्रह,correct spelling
देय,correct spelling
टांके,incorrect spelling
स्टिंग,correct spelling
समस्याए,incorrect spelling
शटर,correct spelling
लटके,incorrect spelling
छुटते,incorrect spelling
"है,ठीक",incorrect spelling
रुकूंगा,incorrect spelling
लगाईए,incorrect spelling
ज़माना,incorrect spelling
सरप्राइज़,incorrect spelling
हत्याकांड,correct spelling
त्योंहारों,incorrect spelling
सजाता,incorrect spelling
केंपस,incorrect spelling
घराने,incorrect spelling
इक्सपीरियंस,incorrect spelling
स्तिथि,correct spelling
पलटने,incorrect spelling
क्लासी,incorrect spelling
फाइदे,incorrect spelling
दर्शकों,incorrect spelling
पढ़ू,incorrect spelling
अथिति,incorrect spelling
फैलाई,incorrect spelling
ओबीसी,incorrect spelling
एक्सपोजर,incorrect spelling
रत,correct spelling
गलतफहमी,correct spelling
कराऊं,incorrect spelling
फॉर्मेट,correct spelling
हैं।आप,incorrect spelling
लाइब,incorrect spelling
सुविदा,incorrect spelling
इजहार,correct spelling
धड़कने,incorrect spelling
चुड़ा,incorrect spelling
एक्सर्साइज़,incorrect spelling
बरसो,incorrect spelling
एंजल,incorrect spelling
वॉलिंटियर,incorrect spelling
डायट,correct spelling
येक,incorrect spelling
जबाने,incorrect spelling
पैक्ड,correct spelling
करिकुलर,incorrect spelling
फ़िज़ूल,correct spelling
"पैसा,",incorrect spelling
भगवन,correct spelling
लग्जरियस,incorrect spelling
प्रिफेर,incorrect spelling
ओक्सिजन,incorrect spelling
रण,correct spelling
बढ़ी,incorrect spelling
मुहैया,correct spelling
कोफ्ता,incorrect spelling
ड्राइबिंग,incorrect spelling
स्पेसिफिकली,incorrect spelling
प्रपोज,incorrect spelling
पहुंचाएगा,incorrect spelling
कृष,incorrect spelling
हथेली,correct spelling
अक्ल,correct spelling
ईनो,incorrect spelling
चंडीगढ़,incorrect spelling
डाइ,correct spelling
ट्रको,incorrect spelling
मोशली,incorrect spelling
सरिया,correct spelling
"बैठेंगे,",incorrect spelling
फाइप,incorrect spelling
घूमूं,incorrect spelling
पैसा।,incorrect spelling
मिनटस,incorrect spelling
"यही,",incorrect spelling
भाई-बहन,correct spelling
भूरा,incorrect spelling
झुकते,incorrect spelling
रुकनी,incorrect spelling
थकाऊ,correct spelling
दबाओ,incorrect spelling
आईने,incorrect spelling
शेक्स,incorrect spelling
गुड्डी,incorrect spelling
फैस,incorrect spelling
डायर,correct spelling
कहीं-कहीं,correct spelling
अख,correct spelling
"वहीं,",incorrect spelling
गुणा,incorrect spelling
हार्मोन,correct spelling
स्वाभाव,incorrect spelling
करारी,incorrect spelling
हारेगा,incorrect spelling
कटवाते,incorrect spelling
पड़ताल,correct spelling
पूड़े,incorrect spelling
उदारण,incorrect spelling
तुड़वा,correct spelling
तौहफे,incorrect spelling
फितरत,correct spelling
फ़ॉलो,correct spelling
"पूरी,",incorrect spelling
बैडमेंटन,incorrect spelling
चड़ते,incorrect spelling
अनसेफ,incorrect spelling
"कहां,",incorrect spelling
फैलने,incorrect spelling
चिपकाया,correct spelling
अच्छां,incorrect spelling
दोसांझ,incorrect spelling
अहिंसा,incorrect spelling
"कही,",incorrect spelling
बट्टी,incorrect spelling
समार्टफोन,incorrect spelling
ऑइली,incorrect spelling
उंचा,incorrect spelling
मिर्जापूर,incorrect spelling
लगूं,incorrect spelling
ऐजुकेशन,correct spelling
रोटीन,incorrect spelling
उठूंगा,incorrect spelling
कुलचा,correct spelling
लीया,incorrect spelling
पराटा,incorrect spelling
मज़िदार,incorrect spelling
हूंगी,incorrect spelling
बोल्डनेस,incorrect spelling
एलईडी,incorrect spelling
सलीका,correct spelling
धरातल,correct spelling
हाअ,incorrect spelling
टांगे,incorrect spelling
सायकल,correct spelling
टपिक,incorrect spelling
स्ट,incorrect spelling
निडर,correct spelling
पॉलिसीज,incorrect spelling
हॉलिवुड,correct spelling
आटोमेटिकली,incorrect spelling
अजनवियों,incorrect spelling
पंजी,incorrect spelling
मड़ी,incorrect spelling
झेंपने,incorrect spelling
पुर्वज,incorrect spelling
सॉलिड,correct spelling
अख्तर,correct spelling
काते,incorrect spelling
तड़के,incorrect spelling
सी_डी,incorrect spelling
सेटरडे,incorrect spelling
प्रसन,correct spelling
है।एक,incorrect spelling
आजके,incorrect spelling
वोलेंटियर,incorrect spelling
प्रेसेंट,incorrect spelling
असाइनमेंट्स,incorrect spelling
तेसे,incorrect spelling
भट्टी,correct spelling
हवाओं,correct spelling
सौंधी,correct spelling
खरोच,correct spelling
ज़ादातर,incorrect spelling
शक्स,incorrect spelling
सलेबस,incorrect spelling
मौर्निंग,incorrect spelling
चुट्टियों,incorrect spelling
मेरेज,correct spelling
केम्प,correct spelling
ऑफर्स,incorrect spelling
सबजियां,incorrect spelling
प्रेंट,incorrect spelling
बनाओ।,incorrect spelling
बित,correct spelling
अस्कूल,incorrect spelling
"दिवाली,",incorrect spelling
अस्थमा,correct spelling
मिलाती,incorrect spelling
क्वेरीज,incorrect spelling
अवैलेबल,incorrect spelling
बढ़ाने,incorrect spelling
रिफ्रेशिंग,incorrect spelling
प्राइबेट,incorrect spelling
कलेंडर,correct spelling
अमरोहा,incorrect spelling
मोड़ी,incorrect spelling
सैद्धांतिक,correct spelling
भुलाए,incorrect spelling
बगीचों,incorrect spelling
"ऊपर,",incorrect spelling
चौखा,correct spelling
जालंधर,correct spelling
सुहावना,incorrect spelling
अचा,correct spelling
विस्वास,incorrect spelling
विशेज,incorrect spelling
वेक्ति,incorrect spelling
"दूंगा,",incorrect spelling
कहा.,incorrect spelling
कॉल्ड,correct spelling
बरता,incorrect spelling
चूर्ण,correct spelling
वगड़ा,incorrect spelling
फ्रैंडशिप,incorrect spelling
रुचिकर,correct spelling
मीटी,incorrect spelling
प्यासे,incorrect spelling
स्विट्जरलैंड,correct spelling
पहुंचकर,incorrect spelling
हल्प,incorrect spelling
इलेक्ट्रॉनिक्स,correct spelling
रुलाया,correct spelling
बेटों,incorrect spelling
दुस,correct spelling
समराइज,incorrect spelling
चढ़े,incorrect spelling
सेलेब्स,incorrect spelling
स्पैशल,incorrect spelling
स्टाइलिस,incorrect spelling
-बहुत,incorrect spelling
विमल,incorrect spelling
अके,incorrect spelling
नई।,incorrect spelling
।बहुत,incorrect spelling
पॉक्स,correct spelling
प्रयाग,correct spelling
इंटरनेशनली,incorrect spelling
पाउँगा,correct spelling
खिलाइए,incorrect spelling
रहित,correct spelling
इंस्पाइरिंग,incorrect spelling
बापिस,incorrect spelling
प्लानर,correct spelling
डी_जे,incorrect spelling
वला,incorrect spelling
नीर,correct spelling
उभरना,incorrect spelling
प्याजा,incorrect spelling
पूरापूरा,incorrect spelling
"दूर,",incorrect spelling
आसपस,incorrect spelling
काप,incorrect spelling
एफिशिएंसी,incorrect spelling
प्राइसेज,incorrect spelling
बनेंगे।,incorrect spelling
शिखा,incorrect spelling
तारीफे,incorrect spelling
डरेगा,incorrect spelling
गूल,incorrect spelling
"देगी,",incorrect spelling
विक्स,incorrect spelling
"मत,",incorrect spelling
सेहतमंद,correct spelling
गुमना,incorrect spelling
फैरी,incorrect spelling
यीशु,correct spelling
प्रोफेसनल,incorrect spelling
मुमी,incorrect spelling
वाटसएप,incorrect spelling
जैकेट्स,incorrect spelling
आश्वासन,correct spelling
अन्त,correct spelling
वर्ट,incorrect spelling
छापने,incorrect spelling
हाइपर,correct spelling
रेडियम,correct spelling
चयनित,correct spelling
सांगरी,incorrect spelling
समुदाएं,incorrect spelling
मिमिक्री,correct spelling
चाईए,incorrect spelling
शक्तियों,incorrect spelling
रिमिक्स,incorrect spelling
सरताज,correct spelling
मुरी,incorrect spelling
क्लबिंग,incorrect spelling
हड़बड़ाहट,correct spelling
अविस्मरणीय,correct spelling
सर्जिकल,correct spelling
जेसीबी,incorrect spelling
पार्टनरशिप,correct spelling
पहुची,incorrect spelling
पोपुलर,incorrect spelling
हील्स,correct spelling
रेनिंग,incorrect spelling
रामा,incorrect spelling
कर.,incorrect spelling
टूथ,correct spelling
बदलेगी,incorrect spelling
टैक्नोलॉजी,correct spelling
हांलाकि,correct spelling
उत्सुक्ता,incorrect spelling
महारत,correct spelling
ऑब्जेक्टिव,correct spelling
माइंस,incorrect spelling
महाबलेश्वर,correct spelling
उल्ट,incorrect spelling
सांड,correct spelling
बेंगॉल,incorrect spelling
पोटकास्ट,incorrect spelling
बिलो,correct spelling
डस्टर,correct spelling
हुई.,incorrect spelling
देखु,incorrect spelling
दौड़ती,incorrect spelling
बाथरुम,correct spelling
हरण,correct spelling
"है,अ",incorrect spelling
मिट्ठू,correct spelling
चाहता।,incorrect spelling
अभ,incorrect spelling
विसर्जित,incorrect spelling
गैज़ेट्स,incorrect spelling
लकडियों,correct spelling
साडियां,incorrect spelling
सयुक्त,incorrect spelling
सताती,incorrect spelling
भूनना,incorrect spelling
बायबाय,incorrect spelling
सदमा,correct spelling
जाकी,incorrect spelling
ऑब्वियसली,incorrect spelling
मंत्रों,incorrect spelling
एक्सराइज,incorrect spelling
कंफरटेबल,incorrect spelling
डेमेज,incorrect spelling
डेंसिटी,incorrect spelling
फोटोग्राफ्स,incorrect spelling
ढूढने,incorrect spelling
हां...,incorrect spelling
फर्टिलाइजर,correct spelling
डम,correct spelling
खरीदू,incorrect spelling
विशेषकर,correct spelling
पालिका,correct spelling
नोटपैड,correct spelling
सत्रा,incorrect spelling
"लाइक,",incorrect spelling
मगधी,incorrect spelling
डिजाइंस,incorrect spelling
दर्शता,incorrect spelling
चोरियां,incorrect spelling
ट्वेल्फ्थ,incorrect spelling
गुजारने,incorrect spelling
औपचारिकता,correct spelling
संभलना,correct spelling
करोड़ो,correct spelling
गती,incorrect spelling
पहा,incorrect spelling
"बैठना,",incorrect spelling
मेवा,incorrect spelling
महत्वपूर्णता,incorrect spelling
हफते,incorrect spelling
लई,incorrect spelling
दसक,incorrect spelling
ज़ी।,incorrect spelling
पोशन,incorrect spelling
पीटता,incorrect spelling
सर्टिफाइड,incorrect spelling
गाढ़ी,incorrect spelling
सरारती,incorrect spelling
फैस्ट,incorrect spelling
जगाए,incorrect spelling
देत,correct spelling
खोजी,incorrect spelling
एक्सपेरिंस,incorrect spelling
2005,incorrect spelling
उलटा,correct spelling
नमस्कार.,incorrect spelling
उगाना,incorrect spelling
फॉर्स,incorrect spelling
"बच्चा,",incorrect spelling
सदाबहार,correct spelling
गगन,correct spelling
धापी,incorrect spelling
पूंछा,incorrect spelling
तुमे,incorrect spelling
खरीब,incorrect spelling
टोंट,correct spelling
कोटि,correct spelling
थुरू,incorrect spelling
खिड़की,incorrect spelling
स्काउट,correct spelling
भक्तों,incorrect spelling
पौन,correct spelling
पहलुओं,incorrect spelling
फैब,incorrect spelling
ट्रेंडस,incorrect spelling
दिलाएंगे,incorrect spelling
ऑडिटोरियम,correct spelling
खील,correct spelling
ब्रह्माण्ड,correct spelling
एंड्रोइड,incorrect spelling
ब्लेसिंग्स,incorrect spelling
"किसी,",incorrect spelling
पॉलिशन,incorrect spelling
मायूसी,incorrect spelling
फाल,correct spelling
बांटी,incorrect spelling
गाँवो,correct spelling
व्हाट्सएप्प,incorrect spelling
कमांडो,correct spelling
फीयर,incorrect spelling
मैंम।,incorrect spelling
अटेंप्ट,incorrect spelling
इत्र,correct spelling
अपनत्व,correct spelling
शुभकामनाए,incorrect spelling
ट्रेडिशनली,incorrect spelling
गिरेगी,incorrect spelling
वगेरहा,incorrect spelling
मानसीक,incorrect spelling
सिनिमा,incorrect spelling
घुमाए,incorrect spelling
हुह्ह्ह,incorrect spelling
अलाहाबाद,correct spelling
डिवाइडर,correct spelling
खीचता,incorrect spelling
दबी,incorrect spelling
आलो,incorrect spelling
रुलाने,incorrect spelling
अडवांस,incorrect spelling
छुट्टीयो,incorrect spelling
फ्रिक्शन,incorrect spelling
बिया,correct spelling
जग़ा,incorrect spelling
वाडी,incorrect spelling
गुड़ियों,incorrect spelling
कनवर्सेशन,incorrect spelling
शाई,incorrect spelling
थ्रेड,correct spelling
एथिकल,incorrect spelling
तेवहारों,incorrect spelling
चुपी,incorrect spelling
अचिव,incorrect spelling
बढ़ाएगा,incorrect spelling
गुस्ता,incorrect spelling
फोड़ी,incorrect spelling
कार्यशैली,incorrect spelling
हूँहूँ,incorrect spelling
मोमोज़,incorrect spelling
पजामे,incorrect spelling
क्राइसिस,correct spelling
हेलिकॉप्टर,correct spelling
ली.,incorrect spelling
ब्ल्यू,correct spelling
जी_डी_पी,incorrect spelling
हहं,incorrect spelling
इन्टरव्यू,incorrect spelling
पेमेट,incorrect spelling
ढकी,correct spelling
खरिदारी,incorrect spelling
टहनी,correct spelling
तोरन,incorrect spelling
गाएंगे,incorrect spelling
लिजीए,incorrect spelling
पायजामा,correct spelling
चौबीसों,incorrect spelling
बरामदे,incorrect spelling
बबा,incorrect spelling
योज,incorrect spelling
पोएट,incorrect spelling
कुरता,correct spelling
रुपी,incorrect spelling
क्राईम,incorrect spelling
ओझा,incorrect spelling
तहजीब,correct spelling
दोज,correct spelling
सीखें।,incorrect spelling
मॉमोस,incorrect spelling
वर्स्ट,incorrect spelling
स्पाई,correct spelling
रोकथाम,correct spelling
अन्भव,incorrect spelling
दिवाने,incorrect spelling
संक्रांती,incorrect spelling
आपातकालीन,correct spelling
चन्ने,incorrect spelling
जबर,correct spelling
कीमा,correct spelling
फसता,incorrect spelling
स्प्लेंडर,incorrect spelling
लसी,incorrect spelling
कलह,correct spelling
क्लैरिटी,incorrect spelling
चढ़ावा,incorrect spelling
सेज,correct spelling
व्यक्तिकत,incorrect spelling
अंदाज़,correct spelling
कंपटिशन,incorrect spelling
दृष्य,correct spelling
पांस,correct spelling
टिफ़िन,correct spelling
बांड,correct spelling
डालूं,incorrect spelling
रखू,incorrect spelling
तोरा,incorrect spelling
परभावित,incorrect spelling
इंशान,incorrect spelling
छाँव,correct spelling
होटलो,incorrect spelling
शोल,correct spelling
प्रैफर,incorrect spelling
फासला,correct spelling
बोंडिंग,incorrect spelling
प्लोट,incorrect spelling
फ्लूएंट,incorrect spelling
हा!,incorrect spelling
थोङा,incorrect spelling
छपाक,correct spelling
ग्राफी,incorrect spelling
बर्तमान,incorrect spelling
गर्बा,incorrect spelling
इंक्वायरी,incorrect spelling
समान।,incorrect spelling
सावित,incorrect spelling
बेचकर,incorrect spelling
6000,incorrect spelling
रहोंगे,incorrect spelling
पगला,correct spelling
कतर,correct spelling
हैअगर,incorrect spelling
किसीने,incorrect spelling
धन्यावाद,incorrect spelling
सींग,correct spelling
बेतर,incorrect spelling
आर्स,incorrect spelling
टिकिट्स,incorrect spelling
याददाश्त,correct spelling
रियक्शन,incorrect spelling
रसायन,correct spelling
आक्सीजन,correct spelling
बजाती,incorrect spelling
जलिया,incorrect spelling
क्लोस,incorrect spelling
निचले,incorrect spelling
यूरिया,correct spelling
बिल्डिंगे,incorrect spelling
सांसद,correct spelling
विद्यालयों,incorrect spelling
लेखा,incorrect spelling
क्रांती,incorrect spelling
मुहावरा,correct spelling
पाऊंगा।,incorrect spelling
आचा,incorrect spelling
ग्राउन,incorrect spelling
दर्शा,correct spelling
अंतर्राष्ट्रीय,correct spelling
झूलने,incorrect spelling
शेविंग,correct spelling
ब्रैक,incorrect spelling
कूदता,incorrect spelling
सुखने,incorrect spelling
आटोग्राफ,incorrect spelling
देखीये,incorrect spelling
क्रिकेटर्स,correct spelling
हुए.,incorrect spelling
उनीस,correct spelling
मिर्जा,correct spelling
हिच,correct spelling
प्रतिकूल,correct spelling
जुबिन,incorrect spelling
कार्यक्षेत्र,correct spelling
हाशमी,incorrect spelling
वारिस,correct spelling
मानोंगे,incorrect spelling
वाके,incorrect spelling
एडवर्टाइज,incorrect spelling
ऊँचे,incorrect spelling
किनारों,incorrect spelling
सेकेण्ड,correct spelling
पिट्टो,incorrect spelling
रहे.,incorrect spelling
इंसाफ,correct spelling
कर्मी,correct spelling
फेमेस,incorrect spelling
जीब,incorrect spelling
निकालोगे,incorrect spelling
सॉल,correct spelling
मेंहनत,incorrect spelling
अथॉरिटी,correct spelling
सक्ती,incorrect spelling
संप्रदाय,correct spelling
रनबीर,incorrect spelling
दोहराया,correct spelling
खाना-पीना,correct spelling
एप्लीकेशंस,incorrect spelling
गाकर,incorrect spelling
टकराया,correct spelling
स्मोक,correct spelling
चोदा,incorrect spelling
माननीय,correct spelling
एम्प्लोई,incorrect spelling
मतलब...,incorrect spelling
वेकेशन्स,incorrect spelling
पाके,incorrect spelling
निपुणता,incorrect spelling
खुशी-खुशी,correct spelling
सड़ा,correct spelling
दाब,correct spelling
कैफ,correct spelling
ईच्छा,incorrect spelling
ट्रेविलिंग,incorrect spelling
ट्रेवलर,correct spelling
2021,incorrect spelling
सुनूँ,incorrect spelling
लीज,correct spelling
ऑक्वर्ड,incorrect spelling
मिलूँ,incorrect spelling
मिन्ट,incorrect spelling
मगज,correct spelling
प्लेस्टेशन,incorrect spelling
अपसे,incorrect spelling
फिक्शनल,incorrect spelling
घुमाई,incorrect spelling
चेट,correct spelling
हथौड़ी,incorrect spelling
बेंगोल,incorrect spelling
जलाता,incorrect spelling
बावड़ी,correct spelling
चुले,incorrect spelling
कठा,incorrect spelling
लगेगा.,incorrect spelling
पलटा,correct spelling
साँप,correct spelling
है।लेकिन,incorrect spelling
एंगर,incorrect spelling
गिनने,incorrect spelling
आठवां,correct spelling
इन्सानियत,correct spelling
हॉबीस,incorrect spelling
वीकेंट,incorrect spelling
चीए,incorrect spelling
टारगेट्स,incorrect spelling
अंधी,incorrect spelling
विद्युत,correct spelling
ताओ,correct spelling
छतरपुर,correct spelling
पॉलिटिशियन,incorrect spelling
अपराधी,incorrect spelling
केमरे,correct spelling
बनिये,incorrect spelling
कीजे,incorrect spelling
पार्टनर्स,incorrect spelling
ट्रेप,incorrect spelling
फ़ॉन्ट,correct spelling
पिट्टू,correct spelling
फ़ीट,incorrect spelling
पॉइंटर,correct spelling
न्यूट्रिशन,incorrect spelling
रोकनी,incorrect spelling
बर्फबारी,correct spelling
बीडी,incorrect spelling
इंतज़ाम,correct spelling
अपकमिंग,incorrect spelling
पिछड़ी,incorrect spelling
ईवी,incorrect spelling
पिग,correct spelling
वायरलेस,correct spelling
नीबू,correct spelling
अनंद,incorrect spelling
परियोग,incorrect spelling
भगोना,correct spelling
माँगते,incorrect spelling
पहुँचकर,incorrect spelling
।कुछ,incorrect spelling
चुहा,incorrect spelling
टिशू,correct spelling
एजूकेशन,correct spelling
बकी,incorrect spelling
बाघ,correct spelling
कढ़ाई,incorrect spelling
घूमने।,incorrect spelling
नौमी,correct spelling
जायेगें,incorrect spelling
फेशियल,incorrect spelling
गॉल,correct spelling
दबाएं,incorrect spelling
राजिस्तान,incorrect spelling
टेकर,correct spelling
पूछू,incorrect spelling
टीकट,incorrect spelling
गुनाह,correct spelling
बेइज्जत,incorrect spelling
फ्रेज,correct spelling
लोनावला,correct spelling
गंद,correct spelling
स्ट्रिक,incorrect spelling
डूबेंगे,incorrect spelling
ताब,correct spelling
शप,correct spelling
आत्मबल,correct spelling
खानो,incorrect spelling
लंभी,incorrect spelling
हाईएस्ट,incorrect spelling
चारधाम,correct spelling
खुशी।,incorrect spelling
दुर्भाग्यवश,correct spelling
बिछी,incorrect spelling
मुरब्बा,correct spelling
मट,correct spelling
अकबार,incorrect spelling
उनपर,incorrect spelling
चढ़ाओ,incorrect spelling
मूंह,incorrect spelling
कृत्रिम,correct spelling
के_जी,incorrect spelling
दोकान,incorrect spelling
पहुंचूंगा,incorrect spelling
झोल,correct spelling
खामोशी,incorrect spelling
डूबेगा,incorrect spelling
माएं,incorrect spelling
हजारी,incorrect spelling
वाइल,correct spelling
चकने,incorrect spelling
बैगरा,incorrect spelling
शौक।,incorrect spelling
इस्लाम,correct spelling
तुलसीदास,correct spelling
खासतोर,incorrect spelling
जल्दी-जल्दी,correct spelling
अस्थानी,incorrect spelling
फिफ्ट,incorrect spelling
कर्ता,correct spelling
कहें।,incorrect spelling
गुट,correct spelling
थै,correct spelling
कैम्प्स,incorrect spelling
लाक,correct spelling
चैनलों,incorrect spelling
फेब्रेट,incorrect spelling
वाजिब,correct spelling
डोरिमोन,incorrect spelling
पूरो,incorrect spelling
उसस,incorrect spelling
बोनी,incorrect spelling
पेंड,correct spelling
सफलतापूर्वक,correct spelling
मुख्यता,incorrect spelling
खच,correct spelling
पालकी,correct spelling
शाप,correct spelling
बिला,correct spelling
कोसी,incorrect spelling
समझना।,incorrect spelling
पार्क्स,correct spelling
विधिवत,correct spelling
लहराता,incorrect spelling
खोलनी,incorrect spelling
रुपा,incorrect spelling
सिवाई,incorrect spelling
नीडी,incorrect spelling
धरे,incorrect spelling
मकानों,incorrect spelling
पहुँचेंगे,incorrect spelling
बुधवार,correct spelling
"लूँ,",incorrect spelling
चन्द्र,correct spelling
आंकड़ा,incorrect spelling
"हैं।,",incorrect spelling
फेस्टीवल,incorrect spelling
गलोच,incorrect spelling
रिदम,incorrect spelling
श्रेय,correct spelling
सेंवई,correct spelling
मर्ज़ी,incorrect spelling
जोनर,incorrect spelling
"हुह,",incorrect spelling
टैबलेट्स,incorrect spelling
कीं,incorrect spelling
नवे,correct spelling
एफ_एम,incorrect spelling
"प्रति,",incorrect spelling
अवी,incorrect spelling
हुकुम,correct spelling
पाद,correct spelling
"लाइफ,",incorrect spelling
राजकीय,correct spelling
जागरित,incorrect spelling
कंपूटर,correct spelling
",उसका",incorrect spelling
हम्मममम,incorrect spelling
लगाऊंगी,incorrect spelling
रातें,incorrect spelling
गड़बड़ियां,incorrect spelling
एवी,incorrect spelling
लडको,incorrect spelling
फंडामेंटल,incorrect spelling
अई,incorrect spelling
सुकर,correct spelling
बटाटा,correct spelling
प्रसेंट,incorrect spelling
ब्रैड,correct spelling
"मजाक,",incorrect spelling
मोतियों,incorrect spelling
कैम्पिन,incorrect spelling
अनुकूलन,correct spelling
पोष्टिक,incorrect spelling
गुरुओं,incorrect spelling
बापू,correct spelling
आवाजा,incorrect spelling
मअ,incorrect spelling
ट्रा,correct spelling
प्रीलिम्स,incorrect spelling
शास्त्रीय,correct spelling
डिलेवरी,correct spelling
गेहुं,incorrect spelling
व्यावहारिकता,incorrect spelling
यूजर्स,correct spelling
चिंताजनक,correct spelling
गरमगरम,correct spelling
रेस्टॉरेंट,correct spelling
जिकर,incorrect spelling
बिरादरी,correct spelling
बल्ड,correct spelling
मुवीस,incorrect spelling
डेस्टीनेशन,incorrect spelling
चाइनीज़,incorrect spelling
वेबसाइट्स,incorrect spelling
चल्ला,incorrect spelling
बैंग,correct spelling
गैज़िट,incorrect spelling
गुने,incorrect spelling
डेफिनिटली,incorrect spelling
व्यव,incorrect spelling
",मैम",incorrect spelling
शिकंजी,incorrect spelling
नज़दीक,incorrect spelling
सचिव,correct spelling
सामको,incorrect spelling
खदान,correct spelling
डिफाइंड,incorrect spelling
सम्पूर्ण,correct spelling
जॉइंन,incorrect spelling
फिमेल,incorrect spelling
कैदी,incorrect spelling
बाईं,incorrect spelling
बजे।,incorrect spelling
मेडी,incorrect spelling
सर्कुलेट,incorrect spelling
पार्लियामेंट,correct spelling
जिनगी,correct spelling
संबंधियों,correct spelling
विचारा,incorrect spelling
जोजो,incorrect spelling
रैन,correct spelling
जूलरी,incorrect spelling
वाद्य,correct spelling
उपलब्दी,incorrect spelling
सातवां,incorrect spelling
मुरमुरे,incorrect spelling
उसल,correct spelling
वोर,incorrect spelling
रिश,incorrect spelling
बोल्ट,correct spelling
तहीं,incorrect spelling
उपासना,incorrect spelling
फेकता,incorrect spelling
